x y z m s
2.87256 4.86076 0.0497073 30 48
2.87247 4.86119 0.0494915 30 48
2.87245 4.86168 0.0492067 30 48
2.87243 4.86189 0.048926 30 48
2.87249 4.8623 0.0486493 30 49
2.87247 4.86271 0.0483765 30 49
2.87245 4.86297 0.0480374 30 49
2.87237 4.86302 0.047703 30 50
2.87242 4.86327 0.0474424 30 50
2.8724 4.86352 0.0471854 30 50
2.87239 4.86364 0.0469318 30 50
2.87237 4.86348 0.0466817 30 51
2.87229 4.86372 0.046435 30 51
2.8722 4.86396 0.0462584 30 51
2.87226 4.86407 0.0460841 30 51
2.87244 4.86424 0.0459121 30 52
2.87262 4.86441 0.0457424 30 52
2.8726 4.86451 0.0455748 30 52
2.87246 4.86474 0.0454095 30 52
2.87244 4.86484 0.0452463 30 53
2.87236 4.86506 0.0450851 30 53
2.87235 4.86548 0.044926 30 53
2.87214 4.86563 0.0447059 30 54
2.87194 4.86578 0.0445511 30 54
2.87187 4.86606 0.0443983 30 54
2.87186 4.86627 0.0441856 30 54
2.87178 4.86648 0.0440369 30 55
2.87171 4.86662 0.0438289 30 55
2.87164 4.86676 0.0436235 30 55
2.87157 4.86708 0.0434205 30 55
2.87138 4.86728 0.04322 30 56
2.87125 4.86736 0.0430815 30 56
2.87125 4.86767 0.0428854 30 56
2.87124 4.86786 0.0426916 30 56
2.87123 4.86781 0.0425 30 57
2.8714 4.86806 0.0423107 30 57
2.87122 4.86871 0.0421815 30 57
2.87115 4.869 0.0419962 30 58
2.87109 4.86947 0.041813 30 58
2.87097 4.86975 0.0416319 30 58
2.87085 4.86998 0.0414528 30 58
2.87056 4.87049 0.0412758 30 59
2.87022 4.87093 0.0410448 30 59
2.87 4.87109 0.0408163 30 59
2.86978 4.87131 0.0405904 30 59
2.8695 4.87152 0.040367 31 0
2.86934 4.87179 0.040146 31 0
2.86956 4.87205 0.0399274 31 0
2.86978 4.87242 0.0397112 31 1
2.86995 4.87278 0.0394973 31 1
2.87 4.87314 0.0392857 31 1
2.87027 4.87334 0.0391297 31 1
2.87011 4.87364 0.0390283 31 2
2.87 4.87404 0.0388752 31 2
2.8699 4.87449 0.0387762 31 2
2.86984 4.87489 0.0387304 31 3
2.86974 4.87554 0.0386851 31 3
2.86954 4.87597 0.0386403 31 3
2.86949 4.8764 0.0386473 31 3
2.86949 4.87693 0.0386542 31 3
2.86929 4.87731 0.038661 31 4
2.86924 4.87782 0.0386678 31 4
2.86935 4.87824 0.0387248 31 4
2.8696 4.87865 0.0387813 31 5
2.8695 4.87915 0.0387874 31 5
2.8694 4.8796 0.0387934 31 5
2.86936 4.88 0.0388487 31 5
2.86931 4.88029 0.0389034 31 6
2.86927 4.88083 0.0389577 31 6
2.86922 4.88131 0.0390113 31 6
2.86918 4.88184 0.0390645 31 6
2.86913 4.88236 0.0391172 31 7
2.86909 4.88288 0.0391693 31 7
2.86905 4.88339 0.039221 31 7
2.86896 4.88403 0.0392722 31 7
2.86882 4.88458 0.0393701 31 8
2.86868 4.88517 0.0394671 31 8
2.86864 4.88552 0.03961 31 8
2.86874 4.88587 0.0397516 31 8
2.86861 4.88631 0.0398918 31 9
2.86848 4.88683 0.0400308 31 9
2.8683 4.8874 0.0401685 31 9
2.86817 4.88773 0.0402591 31 9
2.86804 4.88797 0.0403945 31 10
2.86769 4.88825 0.0404834 31 10
2.86761 4.8883 0.0405714 31 10
