x y z m s
-0.04 -0.02 -0.06 18 30
-0.04 -0.02 -0.06 18 30
-0.04 -0.02 -0.06 18 30
-0.03 -0.02 -0.06 18 30
-0.03 -0.02 -0.06 18 30
-0.03 -0.02 -0.06 18 30
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.06 18 31
-0.03 -0.02 -0.05 18 31
-0.03 -0.02 -0.05 18 31
-0.03 -0.02 -0.05 18 31
-0.03 -0.02 -0.05 18 32
-0.03 -0.02 -0.05 18 32
-0.03 -0.02 -0.05 18 32
-0.02 -0.02 -0.05 18 32
-0.02 -0.02 -0.05 18 32
-0.02 -0.02 -0.05 18 32
-0.02 -0.02 -0.05 18 32
-0.02 -0.02 -0.05 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 32
-0.02 -0.02 -0.04 18 33
-0.02 -0.02 -0.04 18 33
-0.02 -0.02 -0.04 18 33
-0.02 -0.02 -0.04 18 33
-0.02 -0.02 -0.04 18 33
-0.01 -0.02 -0.05 18 33
-0.01 -0.02 -0.05 18 33
-0.01 -0.02 -0.05 18 33
-0.01 -0.02 -0.05 18 33
-0.01 -0.02 -0.04 18 33
-0.01 -0.02 -0.04 18 33
-0.01 -0.02 -0.04 18 33
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.04 18 34
-0.01 -0.02 -0.03 18 34
-0.01 -0.02 -0.03 18 34
-0.01 -0.02 -0.03 18 34
-0.01 -0.02 -0.03 18 34
-0.01 -0.02 -0.02 18 34
-0.02 -0.02 -0.01 18 34
-0.02 -0.02 -0 18 34
-0.02 -0.02 0.02 18 35
-0.02 -0.02 0.03 18 35
-0.03 -0.02 0.06 18 35
-0.03 -0.02 0.08 18 35
-0.04 -0.02 0.12 18 35
-0.05 -0.02 0.16 18 35
-0.05 -0.02 0.18 18 35
-0.05 -0.02 0.23 18 35
-0.06 -0.02 0.26 18 35
-0.06 -0.02 0.29 18 35
-0.07 -0.02 0.35 18 35
-0.07 -0.02 0.39 18 35
-0.07 -0.02 0.46 18 35
-0.08 -0.03 0.5 18 35
-0.08 -0.03 0.58 18 36
-0.08 -0.03 0.62 18 36
-0.09 -0.03 0.72 18 36
-0.09 -0.03 0.76 18 36
-0.09 -0.03 0.86 18 36
-0.1 -0.03 0.91 18 36
-0.1 -0.03 1.02 18 36
-0.1 -0.03 1.07 18 36
-0.11 -0.03 1.2 18 36
-0.11 -0.03 1.26 18 36
-0.11 -0.03 1.38 18 36
-0.11 -0.04 1.51 18 36
-0.11 -0.04 1.59 18 36
-0.11 -0.04 1.66 18 36
-0.12 -0.04 1.79 18 37
-0.12 -0.04 1.87 18 37
-0.12 -0.04 2.02 18 37
-0.12 -0.04 2.09 18 37
-0.12 -0.04 2.22 18 37
-0.12 -0.04 2.33 18 37
-0.12 -0.05 2.4 18 37
-0.12 -0.05 2.5 18 37
-0.12 -0.05 2.55 18 37
-0.13 -0.05 2.65 18 37
-0.13 -0.05 2.7 18 37
-0.13 -0.05 2.75 18 37
-0.13 -0.05 2.84 18 37
-0.13 -0.06 2.9 18 37
-0.13 -0.06 2.95 18 37
-0.13 -0.06 2.99 18 38
-0.13 -0.06 3.06 18 38
-0.13 -0.06 3.09 18 38
-0.13 -0.06 3.15 18 38
-0.13 -0.06 3.18 18 38
-0.12 -0.06 3.24 18 38
-0.12 -0.06 3.27 18 38
-0.12 -0.06 3.32 18 38
-0.12 -0.06 3.37 18 38
-0.12 -0.06 3.39 18 38
-0.12 -0.06 3.44 18 38
-0.12 -0.06 3.46 18 38
-0.12 -0.06 3.48 18 38
-0.12 -0.06 3.52 18 39
-0.12 -0.06 3.53 18 39
-0.11 -0.06 3.57 18 39
-0.11 -0.06 3.59 18 39
-0.11 -0.06 3.62 18 39
-0.11 -0.06 3.63 18 39
-0.11 -0.06 3.66 18 39
-0.11 -0.06 3.67 18 39
-0.11 -0.06 3.7 18 39
-0.11 -0.06 3.72 18 39
-0.11 -0.06 3.73 18 40
-0.11 -0.06 3.75 18 40
-0.1 -0.06 3.76 18 40
-0.1 -0.05 3.78 18 40
-0.1 -0.05 3.79 18 40
-0.1 -0.05 3.8 18 40
-0.1 -0.05 3.82 18 40
-0.09 -0.05 3.83 18 40
-0.09 -0.04 3.84 18 40
-0.09 -0.04 3.85 18 40
-0.09 -0.04 3.86 18 40
-0.09 -0.04 3.86 18 40
-0.08 -0.03 3.87 18 40
-0.08 -0.03 3.88 18 40
-0.08 -0.03 3.89 18 40
-0.08 -0.02 3.9 18 41
-0.08 -0.02 3.9 18 41
-0.08 -0.02 3.91 18 41
-0.07 -0.02 3.92 18 41
-0.07 -0.01 3.92 18 41
-0.07 -0.01 3.93 18 41
-0.07 -0.01 3.93 18 41
-0.07 -0 3.94 18 41
-0.07 -0 3.94 18 41
-0.07 0 3.94 18 41
-0.07 0 3.95 18 41
-0.07 0 3.95 18 41
-0.07 0.01 3.96 18 41
-0.07 0.01 3.96 18 41
-0.06 0.01 3.96 18 42
-0.06 0.01 3.97 18 42
-0.06 0.01 3.97 18 42
-0.06 0.01 3.97 18 42
-0.06 0.01 3.98 18 42
-0.06 0.02 3.98 18 42
-0.06 0.02 3.98 18 42
-0.06 0.02 3.98 18 42
-0.06 0.02 3.99 18 42
-0.06 0.02 3.99 18 42
-0.06 0.02 3.99 18 42
-0.06 0.02 3.99 18 42
-0.06 0.02 3.99 18 42
-0.06 0.02 3.99 18 42
-0.06 0.02 3.99 18 43
-0.06 0.02 4 18 43
-0.05 0.02 4 18 43
-0.05 0.02 4 18 43
-0.05 0.02 4 18 43
-0.05 0.02 4.01 18 43
-0.05 0.02 4.01 18 43
-0.05 0.01 4.01 18 43
-0.05 0.01 4.01 18 43
-0.05 0.01 4.01 18 43
-0.05 0.01 4.01 18 43
-0.05 0.01 4.02 18 43
-0.05 0.01 4.02 18 43
-0.04 0.01 4.02 18 43
-0.04 0.01 4.02 18 44
-0.04 0.01 4.02 18 44
-0.04 0.01 4.02 18 44
-0.04 0.01 4.02 18 44
-0.04 0.01 4.02 18 44
-0.04 0.01 4.02 18 44
-0.04 0.01 4.02 18 44
-0.04 0.01 4.03 18 44
-0.04 0.01 4.03 18 44
-0.04 0.01 4.03 18 44
-0.04 0.01 4.03 18 44
-0.04 0.01 4.03 18 44
-0.04 0.01 4.03 18 44
-0.04 0 4.03 18 44
-0.04 0 4.03 18 45
-0.05 0 4.03 18 45
-0.05 0 4.04 18 45
-0.05 0 4.04 18 45
-0.05 -0 4.04 18 45
-0.05 -0 4.04 18 45
-0.05 -0 4.04 18 45
-0.05 -0 4.04 18 45
-0.05 -0 4.04 18 45
-0.05 -0.01 4.04 18 45
-0.04 -0.01 4.04 18 45
-0.05 -0.01 4.04 18 45
-0.05 -0.01 4.04 18 45
-0.05 -0.01 4.04 18 45
-0.05 -0.01 4.04 18 46
-0.05 -0.01 4.04 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.01 4.05 18 46
-0.05 -0.02 4.05 18 46
-0.05 -0.02 4.05 18 46
-0.05 -0.02 4.05 18 46
-0.05 -0.02 4.05 18 46
-0.05 -0.02 4.05 18 46
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 47
-0.06 -0.02 4.05 18 48
-0.06 -0.02 4.05 18 48
-0.06 -0.02 4.05 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.02 4.06 18 48
-0.06 -0.01 4.06 18 48
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 49
-0.06 -0.01 4.06 18 50
-0.06 -0.01 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 50
-0.06 -0 4.06 18 51
-0.06 -0 4.06 18 51
-0.06 -0 4.06 18 51
-0.06 -0 4.06 18 51
-0.06 -0 4.06 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 -0 4.05 18 51
-0.06 0 4.05 18 52
-0.06 0 4.05 18 52
-0.06 0 4.05 18 52
-0.06 0 4.05 18 52
-0.06 0 4.05 18 52
-0.05 0 4.05 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.05 0 4.04 18 52
-0.04 0 4.04 18 53
-0.04 0 4.04 18 53
-0.04 0 4.04 18 53
-0.04 0 4.04 18 53
-0.04 0 4.04 18 53
-0.04 0 4.04 18 53
-0.04 0 4.03 18 53
-0.04 0 4.03 18 53
-0.04 0 4.03 18 53
-0.04 0.01 4.03 18 53
-0.04 0.01 4.03 18 54
-0.04 0.01 4.03 18 54
-0.04 0.01 4.03 18 54
-0.04 0.01 4.03 18 54
-0.04 0.01 4.03 18 54
-0.04 0.01 4.03 18 54
-0.04 0.01 4.03 18 54
-0.04 0.01 4.02 18 54
-0.04 0.01 4.02 18 54
-0.04 0.02 4.02 18 54
-0.04 0.02 4.02 18 54
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 55
-0.04 0.02 4.02 18 56
-0.04 0.02 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.03 4.02 18 56
-0.04 0.02 4.02 18 56
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 57
-0.04 0.02 4.02 18 58
-0.04 0.02 4.02 18 58
-0.04 0.02 4.02 18 58
-0.04 0.02 4.02 18 58
-0.04 0.02 4.02 18 58
-0.04 0.02 4.02 18 58
-0.05 0.02 4.03 18 58
-0.05 0.01 4.03 18 58
-0.05 0.01 4.03 18 58
-0.05 0.01 4.03 18 58
-0.05 0.01 4.03 18 58
-0.05 0.01 4.03 18 58
-0.05 0.01 4.03 18 58
-0.05 0.01 4.02 18 59
-0.05 0.01 4.02 18 59
-0.05 0.01 4.02 18 59
-0.05 0.01 4.02 18 59
-0.05 0 4.02 18 59
-0.05 0 4.02 18 59
-0.05 0 4.02 18 59
-0.05 0 4.02 18 59
-0.05 -0 4.02 18 59
-0.05 -0 4.02 18 59
-0.05 -0 4.02 18 59
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.02 19 0
-0.05 -0.01 4.03 19 0
-0.05 -0.02 4.03 19 0
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 1
-0.05 -0.02 4.03 19 2
-0.05 -0.02 4.03 19 2
-0.05 -0.02 4.03 19 2
-0.05 -0.02 4.03 19 2
-0.05 -0.03 4.03 19 2
-0.05 -0.03 4.03 19 2
-0.05 -0.03 4.03 19 2
-0.05 -0.03 4.03 19 2
-0.05 -0.03 4.03 19 2
-0.05 -0.03 4.03 19 2
-0.05 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 3
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 4
-0.04 -0.03 4.03 19 5
-0.04 -0.03 4.03 19 5
-0.03 -0.03 4.03 19 5
-0.03 -0.03 4.03 19 5
-0.03 -0.03 4.02 19 5
-0.03 -0.04 4.02 19 5
-0.03 -0.04 4.02 19 5
-0.03 -0.04 4.02 19 5
-0.03 -0.04 4.02 19 5
-0.03 -0.04 4.02 19 6
-0.03 -0.04 4.02 19 6
-0.03 -0.04 4.02 19 6
-0.03 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 6
-0.02 -0.04 4.01 19 7
-0.02 -0.04 4.01 19 7
-0.02 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 7
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 8
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4.01 19 9
-0.01 -0.04 4 19 9
-0.01 -0.04 4 19 9
-0.01 -0.04 4 19 9
-0.01 -0.04 4 19 10
-0.01 -0.04 4 19 10
-0.01 -0.04 4 19 10
-0.01 -0.04 4 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 10
-0.01 -0.04 3.99 19 11
-0.01 -0.04 3.99 19 11
-0.01 -0.04 3.99 19 11
-0.01 -0.04 3.98 19 11
-0.01 -0.04 3.98 19 11
